subject,predicate,object,category,description
rule-light-5,slot-prefix,lighting-params,lighting-rule,
rule-light-5,rule-name,Starter Motion Lighting,lighting-rule,
rule-light-5,metric,budget,lighting-rule,
rule-light-5,comparator,==,lighting-rule,
rule-light-5,threshold,low,lighting-rule,
rule-light-5,also-require-metric,automation-level,lighting-rule,
rule-light-5,also-require-comparator,==,lighting-rule,
rule-light-5,also-require-threshold,reactive,lighting-rule,
rule-light-5,recommended-method,budget-motion-sensor-bulbs,lighting-rule,
rule-light-5,confidence,medium,lighting-rule,
rule-light-5,rationale,"For a low-cost sensor-based setup, entry-level motion sensor bulbs give you automatic lighting without needing a more expensive whole-home system.",lighting-rule,
rule-light-6,task-type,configure-lighting,lighting-rule,Generic fallback lighting
rule-light-6,slot-prefix,lighting-params,lighting-rule,
rule-light-6,fallback,true,lighting-rule,
rule-light-6,rule-name,Universal Smart Bulbs,lighting-rule,
rule-light-6,recommended-method,universal-smart-bulbs,lighting-rule,
rule-light-6,rationale,"We couldn't find a highly specialized rule for your exact combination, but standard Universal Smart Bulbs are a great reliable fallback!",lighting-rule,
rule-climate-1,task-type,configure-climate,climate-rule,High budget = Central HVAC Integration
rule-climate-1,slot-prefix,climate-params,climate-rule,
rule-climate-1,rule-name,Central AI Thermostat,climate-rule,
rule-climate-1,metric,budget,climate-rule,
rule-climate-1,comparator,==,climate-rule,
rule-climate-1,threshold,high,climate-rule,
rule-climate-1,also-require-metric,,climate-rule,
rule-climate-1,also-require-comparator,,climate-rule,
rule-climate-1,also-require-threshold,,climate-rule,
rule-climate-1,recommended-method,central-hvac-smart-thermostat,climate-rule,
rule-climate-1,confidence,high,climate-rule,
rule-climate-1,rationale,"With a high budget, installing a flagship learning thermostat directly into your central HVAC system offers the most seamless and intelligent whole-home climate control.",climate-rule,
rule-climate-2,task-type,configure-climate,climate-rule,Medium budget = Mini-Split Controllers
rule-climate-2,slot-prefix,climate-params,climate-rule,
rule-climate-2,rule-name,Smart AC Controllers,climate-rule,
rule-climate-2,metric,budget,climate-rule,
rule-climate-2,comparator,==,climate-rule,
rule-climate-2,threshold,medium,climate-rule,
rule-climate-2,also-require-metric,,climate-rule,
rule-climate-2,also-require-comparator,,climate-rule,
rule-climate-2,also-require-threshold,,climate-rule,
rule-climate-2,recommended-method,infrared-smart-ac-controllers,climate-rule,
rule-climate-2,confidence,high,climate-rule,
rule-climate-2,rationale,"For a medium budget, placing Infrared Smart AC Controllers near your existing wall or window units gives you perfect app-based climate features without the heavy installation costs.",climate-rule,
rule-climate-3,task-type,configure-climate,climate-rule,Low budget = Smart Plugs for Fans/Heaters
rule-climate-3,slot-prefix,climate-params,climate-rule,
rule-climate-3,rule-name,Climate Smart Plugs,climate-rule,
rule-climate-3,metric,budget,climate-rule,
rule-climate-3,comparator,==,climate-rule,
rule-climate-3,threshold,low,climate-rule,
rule-climate-3,also-require-metric,,climate-rule,
rule-climate-3,also-require-comparator,,climate-rule,
rule-climate-3,also-require-threshold,,climate-rule,
rule-climate-3,recommended-method,heavy-duty-smart-plugs,climate-rule,
rule-climate-3,confidence,high,climate-rule,
rule-climate-3,rationale,"For a strict low budget, utilizing heavy-duty smart plugs on standalone fans and space heaters is the most affordable way to schedule and automate your personal climate.",climate-rule,
rule-climate-4,task-type,configure-climate,climate-rule,Generic fallback climate
rule-climate-4,slot-prefix,climate-params,climate-rule,
rule-climate-4,fallback,true,climate-rule,
rule-climate-4,rule-name,Generic Smart Thermostat,climate-rule,
rule-climate-4,recommended-method,generic-smart-thermostat,climate-rule,
rule-climate-4,rationale,"We couldn't find a specialized climate rule for your exact combination, but standard Generic Smart Thermostats are a great reliable fallback!",climate-rule,
rule-security-1,task-type,configure-security,security-rule,High budget + cameras = 4K DVR System
rule-security-1,slot-prefix,security-params,security-rule,
rule-security-1,metric,budget,security-rule,
rule-security-1,comparator,==,security-rule,
rule-security-1,threshold,high,security-rule,
rule-security-1,also-require-metric,type,security-rule,
rule-security-1,also-require-comparator,==,security-rule,
rule-security-1,also-require-threshold,cameras,security-rule,
rule-security-1,recommended-method,4k-poe-ip-camera-system,security-rule,
rule-security-1,rationale,"For a high budget, a PoE (Power over Ethernet) system with 4K cameras and a local DVR offers the best security and reliability without subscription fees.",security-rule,
rule-security-2,task-type,configure-security,security-rule,Low budget + locks = Bluetooth Padlocks
rule-security-2,slot-prefix,security-params,security-rule,
rule-security-2,metric,budget,security-rule,
rule-security-2,comparator,==,security-rule,
rule-security-2,threshold,low,security-rule,
rule-security-2,also-require-metric,type,security-rule,
rule-security-2,also-require-comparator,==,security-rule,
rule-security-2,also-require-threshold,locks,security-rule,
rule-security-2,recommended-method,bluetooth-smart-deadbolt-adapter,security-rule,
rule-security-2,rationale,"A smart deadbolt adapter is the most budget-friendly way to add smart features to your existing locks without replacing the entire hardware.",security-rule,
rule-security-3,task-type,configure-security,security-rule,Generic camera fallback
rule-security-3,slot-prefix,security-params,security-rule,
rule-security-3,fallback,true,security-rule,
rule-security-3,also-require-metric,type,security-rule,
rule-security-3,also-require-comparator,==,security-rule,
rule-security-3,also-require-threshold,cameras,security-rule,
rule-security-3,recommended-method,generic-wifi-camera,security-rule,
rule-security-3,rationale,"We couldn't find a specialized camera rule for your budget, but a standard generic WiFi camera is a great entry-level choice.",security-rule,
rule-security-4,task-type,configure-security,security-rule,Generic lock fallback
rule-security-4,slot-prefix,security-params,security-rule,
rule-security-4,fallback,true,security-rule,
rule-security-4,also-require-metric,type,security-rule,
rule-security-4,also-require-comparator,==,security-rule,
rule-security-4,also-require-threshold,locks,security-rule,
rule-security-4,recommended-method,generic-smart-lock,security-rule,
rule-security-4,rationale,"We couldn't find a specialized lock rule for your budget, but a standard generic smart lock will work with most doors.",security-rule,
rule-security-5,task-type,configure-security,security-rule,Generic security fallback
rule-security-5,slot-prefix,security-params,security-rule,
rule-security-5,fallback,true,security-rule,
rule-security-5,recommended-method,generic-security-hub,security-rule,
rule-security-5,rationale,"We couldn't find a specialized rule for your security setup, but a generic smart home security hub is a great way to start.",security-rule,
